DATE: 2022-04-02 04:09:51 PM|Action: addAppointmentMTLA0000|MTLM123456|DENTAL | Parameters: USER:MONserverMTLA0000/ AppointmentId: MTLM123456/ AppointmentType: DENTAL/ NumofAppointment: 2 | Action Status: Success | Resonse: Appointment added
DATE: 2022-04-02 04:11:50 PM|Action: Appointment BookedMTLM123456 | Parameters: USER: mtlserverMTLP8520/ AppointmentId: MTLM123456/ AppointmentType: DENTAL | Action Status: Success | Resonse: TRUE
DATE: 2022-04-02 09:50:44 PM|Action: List of Appointments | Parameters: USER: AllserverMTLA0000 | Action Status: Success | Resonse: {PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='10}}, DENTAL={MTLA140222=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={QUEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={SHEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-04-02 09:51:24 PM|Action: addAppointmentMTLA0000|MTLA1212|DENTAL | Parameters: USER:MONserverMTLA0000/ AppointmentId: MTLA1212/ AppointmentType: DENTAL/ NumofAppointment: 12 | Action Status: Success | Resonse: Appointment added
DATE: 2022-04-02 09:57:03 PM|Action: List of Appointments | Parameters: USER: MONserverMTLA0000 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-04-02 09:57:03 PM|Action: List of Appointments | Parameters: USER: SHEserverMTLA0000 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-04-02 09:57:03 PM|Action: List of Appointments | Parameters: USER: AllserverMTLA0000 | Action Status: Success | Resonse: {PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='10}}, DENTAL={MTLA140222=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={QUEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={SHEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-04-03 10:32:11 AM|Action: addAppointmentMTLA0000|MTLA121212|DENTAL | Parameters: USER:MONserverMTLA0000/ AppointmentId: MTLA121212/ AppointmentType: DENTAL/ NumofAppointment: 12 | Action Status: Success | Resonse: Appointment added
DATE: 2022-04-03 10:32:51 AM|Action: List of Appointments | Parameters: USER: MONserverMTLA0000 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-04-03 10:32:51 AM|Action: List of Appointments | Parameters: USER: SHEserverMTLA0000 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-04-03 10:32:51 AM|Action: List of Appointments | Parameters: USER: AllserverMTLA0000 | Action Status: Success | Resonse: {PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='10}}, DENTAL={MTLA121212=Appointment{Number of Appoinntment='12}, MTLA140222=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={QUEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={SHEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-04-03 10:34:13 AM|Action: Appointment removedMTLE140222 | Parameters: USER: MONserverMTLA0000/ AppointmentId: MTLE140222/ AppointmentType: PHYSICIAN/ NumofAppointmentRemoved: 0 | Action Status: Success | Resonse: removed
DATE: 2022-04-03 10:37:13 AM|Action: List of Appointments | Parameters: USER: MONserverMTLA0000 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-04-03 10:37:13 AM|Action: List of Appointments | Parameters: USER: SHEserverMTLA0000 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-04-03 10:37:13 AM|Action: List of Appointments | Parameters: USER: AllserverMTLA0000 | Action Status: Success | Resonse: {PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='0}}, DENTAL={MTLA121212=Appointment{Number of Appoinntment='12}, MTLA140222=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={QUEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={SHEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-04-03 10:39:10 AM|Action: List of Appointments | Parameters: USER: MONserverMTLA0000 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-04-03 10:39:10 AM|Action: List of Appointments | Parameters: USER: SHEserverMTLA0000 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-04-03 10:39:10 AM|Action: List of Appointments | Parameters: USER: AllserverMTLA0000 | Action Status: Success | Resonse: {PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='0}}, DENTAL={MTLA121212=Appointment{Number of Appoinntment='12}, MTLA140222=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={QUEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={SHEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-04-03 10:39:53 AM|Action: Appointment BookedMTLA121212;Success | Parameters: USER: mtlserverMTLA121212/ AppointmentId: MTLA121212/ AppointmentType: DENTAL | Action Status: Success | Resonse: TRUE
DATE: 2022-04-03 10:40:13 AM|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLA121212DENTAL] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 10:40:39 AM|Action: Appointment CancelledMTLA121212 | Parameters: USER: MONserverMTLA121212/ AppointmentId: MTLA121212/ AppointmentType: DENTAL | Action Status: Success | Resonse: true
DATE: 2022-04-03 10:43:00 AM|Action: getAppointmentSchedule | Parameters: USER:allserver | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 10:43:00 AM|Action: Appointment BookedQUEE121212 | Parameters: USER: QUEserverMTLA1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-04-03 11:46:27 AM|Action: List of Appointments | Parameters: USER: MONserverMTLA0000 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-04-03 11:46:27 AM|Action: List of Appointments | Parameters: USER: SHEserverMTLA0000 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-04-03 11:46:27 AM|Action: List of Appointments | Parameters: USER: AllserverMTLA0000 | Action Status: Success | Resonse: {PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='10}}, DENTAL={MTLA140222=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={QUEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={SHEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-04-03 11:47:20 AM|Action: getAppointmentSchedule | Parameters: USER:allserver | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 11:47:20 AM|Action: Appointment BookedQUEA121212;Success | Parameters: USER: QUEserverMTLA1212/ AppointmentId: QUEA121212/ AppointmentType: DENTAL | Action Status: Success | Resonse: TRUE
DATE: 2022-04-03 11:50:51 AM|Action: List of Appointments | Parameters: USER: MONserverMTLA0000 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-04-03 11:50:51 AM|Action: List of Appointments | Parameters: USER: SHEserverMTLA0000 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-04-03 11:50:51 AM|Action: List of Appointments | Parameters: USER: AllserverMTLA0000 | Action Status: Success | Resonse: {PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='10}}, DENTAL={MTLA140222=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={QUEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={SHEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-04-03 11:55:51 AM|Action: List of Appointments | Parameters: USER: MONserverMTLA0000 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-04-03 11:55:51 AM|Action: List of Appointments | Parameters: USER: SHEserverMTLA0000 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-04-03 11:55:51 AM|Action: List of Appointments | Parameters: USER: AllserverMTLA0000 | Action Status: Success | Resonse: {PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='10}}, DENTAL={MTLA140222=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={QUEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={SHEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-04-03 12:10:47 PM|Action: List of Appointments | Parameters: USER: MONserverMTLA0000 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-04-03 12:10:47 PM|Action: List of Appointments | Parameters: USER: SHEserverMTLA0000 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-04-03 12:10:48 PM|Action: List of Appointments | Parameters: USER: AllserverMTLA0000 | Action Status: Success | Resonse: {PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='10}}, DENTAL={MTLA140222=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={QUEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={SHEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-04-03 12:43:55 PM|Action: List of Appointments | Parameters: USER: MONserverMTLA0000 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-04-03 12:43:55 PM|Action: List of Appointments | Parameters: USER: SHEserverMTLA0000 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-04-03 12:43:55 PM|Action: List of Appointments | Parameters: USER: AllserverMTLA0000 | Action Status: Success | Resonse: {PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='10}}, DENTAL={MTLA140222=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={QUEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={SHEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-04-03 12:50:21 PM|Action: addAppointmentMTLA0000|MTLA1212|PHYSICIAN | Parameters: USER:MONserverMTLA0000/ AppointmentId: MTLA1212/ AppointmentType: PHYSICIAN/ NumofAppointment: 10 | Action Status: Success | Resonse: Appointment added
DATE: 2022-04-03 12:50:40 PM|Action: Appointment removedMTLA1212 | Parameters: USER: MONserverMTLA0000/ AppointmentId: MTLA1212/ AppointmentType: PHYSICIAN/ NumofAppointmentRemoved: 0 | Action Status: Success | Resonse: removed
DATE: 2022-04-03 12:50:52 PM|Action: List of Appointments | Parameters: USER: MONserverMTLA0000 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-04-03 12:50:52 PM|Action: List of Appointments | Parameters: USER: SHEserverMTLA0000 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-04-03 12:50:52 PM|Action: List of Appointments | Parameters: USER: AllserverMTLA0000 | Action Status: Success | Resonse: {PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='10}, MTLA1212=Appointment{Number of Appoinntment='0}}, DENTAL={MTLA140222=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={QUEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={SHEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-04-03 12:51:23 PM|Action: Appointment BookedMTLE140222;Success | Parameters: USER: mtlserverMTLA1212/ AppointmentId: MTLE140222/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-04-03 12:51:42 PM|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLE140222PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 12:52:09 PM|Action: Appointment CancelledMTLE140222 | Parameters: USER: MONserverMTLA1212/ AppointmentId: MTLE140222/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: true
DATE: 2022-04-03 01:03:07 PM|Action: List of Appointments | Parameters: USER: MONserverMTLA0000 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-04-03 01:03:07 PM|Action: List of Appointments | Parameters: USER: SHEserverMTLA0000 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-04-03 01:03:07 PM|Action: List of Appointments | Parameters: USER: AllserverMTLA0000 | Action Status: Success | Resonse: {PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='10}}, DENTAL={MTLA140222=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={QUEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={SHEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-04-03 01:09:57 PM|Action: List of Appointments | Parameters: USER: MONserverMTLA0000 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-04-03 01:09:57 PM|Action: List of Appointments | Parameters: USER: SHEserverMTLA0000 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-04-03 01:09:57 PM|Action: List of Appointments | Parameters: USER: AllserverMTLA0000 | Action Status: Success | Resonse: {PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='10}}, DENTAL={MTLA140222=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={QUEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={SHEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-04-03 01:10:26 PM|Action: getAppointmentSchedule | Parameters: USER:allserver | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 01:10:26 PM|Action: Appointment BookedQUEE121212;Success | Parameters: USER: mtlserverMTLA1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-04-03 01:26:44 PM|Action: Appointment BookedMTLA140222;Success | Parameters: USER: mtlserverMTLA1212/ AppointmentId: MTLA140222/ AppointmentType: DENTAL | Action Status: Success | Resonse: TRUE
DATE: 2022-04-03 01:27:26 PM|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLA140222DENTAL] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 01:27:26 PM|Action: Appointment BookedQUEE121212;Success | Parameters: USER: mtlserverMTLA1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-04-03 01:33:48 PM|Action: Appointment BookedMTLA140222;Success | Parameters: USER: mtlserverMTLA1212/ AppointmentId: MTLA140222/ AppointmentType: DENTAL | Action Status: Success | Resonse: TRUE
DATE: 2022-04-03 01:34:20 PM|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLA140222DENTAL] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 01:34:20 PM|Action: Appointment BookedQUEE121212;Success | Parameters: USER: mtlserverMTLA1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-04-03 01:34:20 PM|Action: Appointment BookedQUEE121212;Success | Parameters: USER:queserverMTLA1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN/ NumofAppointment:  | Action Status: Success | Resonse: Appointment added
DATE: 2022-04-03 01:34:56 PM|Action: getAppointmentSchedule | Parameters: USER:sheormtlserver[QUEE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 01:34:56 PM|Action: getAppointmentSchedule | Parameters: USER:allserver[MTLA140222DENTAL][QUEE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 01:35:56 PM|Action: Appointment CancelledQUEE121212;Success | Parameters: USER: QUEserverMTLA1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: true
DATE: 2022-04-03 01:35:56 PM|Action: Appointment BookedSHEN121212 | Parameters: USER: sheserverMTLA1212/ AppointmentId: SHEN121212/ AppointmentType: SURGEON | Action Status: Success | Resonse: TRUE
DATE: 2022-04-03 01:35:56 PM|Action: Appointment SwappedQUEE121212PHYSICIANtoSHEN121212PHYSICIAN;Success | Parameters: USER: QUEserverTOSHEserverMTLA1212/ oldAppointmentId: QUEE121212/ oldAppointmentType: PHYSICIAN/ NewAppointmentId: SHEN121212/ newAppointmentType: SURGEON | Action Status: Success | Resonse: true
DATE: 2022-04-03 01:35:56 PM|Action: Sending request to que server for swapappointmentQUEE121212PHYSICIANtoSHEN121212PHYSICIAN | Parameters: USER: MONservertoQUEserverMTLA1212/ oldAppointmentId: QUEE121212/ oldAppointmentType: PHYSICIAN/ NewAppointmentId: SHEN121212/ newAppointmentType: SURGEON | Action Status: Success | Resonse: true
DATE: 2022-04-03 02:00:54 PM|Action: List of Appointments | Parameters: USER: MONserverMTLA0000 | Action Status: Success | Resonse: QUEServeraccessed
DATE: 2022-04-03 02:00:54 PM|Action: List of Appointments | Parameters: USER: SHEserverMTLA0000 | Action Status: Success | Resonse: MonServeraccessed
DATE: 2022-04-03 02:00:54 PM|Action: List of Appointments | Parameters: USER: AllserverMTLA0000 | Action Status: Success | Resonse: {PHYSICIAN={MTLE140222=Appointment{Number of Appoinntment='10}}, DENTAL={MTLA140222=Appointment{Number of Appoinntment='10}}, SURGEON={MTLN140222=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={QUEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={QUEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={QUEN121212=Appointment{Number of Appoinntment='10}}}{PHYSICIAN={SHEE121212=Appointment{Number of Appoinntment='10}}, DENTAL={SHEA121212=Appointment{Number of Appoinntment='10}}, SURGEON={SHEN121212=Appointment{Number of Appoinntment='10}}}
DATE: 2022-04-03 02:02:15 PM|Action: getAppointmentSchedule | Parameters: USER:allserver | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 02:02:15 PM|Action: Appointment BookedQUEE121212;Success | Parameters: USER: mtlserverMTLA1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN | Action Status: Success | Resonse: TRUE
DATE: 2022-04-03 02:02:15 PM|Action: Appointment BookedQUEE121212;Success | Parameters: USER:queserverMTLA1212/ AppointmentId: QUEE121212/ AppointmentType: PHYSICIAN/ NumofAppointment:  | Action Status: Success | Resonse: Appointment added
DATE: 2022-04-03 02:02:57 PM|Action: getAppointmentSchedule | Parameters: USER:sheormtlserver[QUEE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 02:02:57 PM|Action: getAppointmentSchedule | Parameters: USER:allserver[QUEE121212PHYSICIAN] | Action Status: Success | Resonse: getAppointmentSchedule done
DATE: 2022-04-03 02:02:57 PM|Action: Appointment BookedSHEN121212 | Parameters: USER: sheserverMTLA1212/ AppointmentId: SHEN121212/ AppointmentType: SURGEON | Action Status: Success | Resonse: TRUE
